date,caserate7d100k
2022-02-25,145.09
2022-02-24,154.77
2022-02-23,163.08
2022-02-22,173.49
2022-02-21,170.53
2022-02-20,210.93
2022-02-19,214.81
2022-02-18,223.06
2022-02-17,236.77
2022-02-16,256.55
2022-02-15,281.8
2022-02-14,307.78
2022-02-13,341.27
2022-02-12,355.87
2022-02-11,366.59
2022-02-10,400.67
2022-02-09,455.46
2022-02-08,488.26
2022-02-07,518.1
2022-02-06,603.74
2022-02-05,621.51
2022-02-04,655.55
2022-02-03,731.98
2022-02-02,798.22
2022-02-01,870.47
2022-01-31,930.59
2022-01-30,1063.37
2022-01-29,1109.84
2022-01-28,1141.06
2022-01-27,1216.79
2022-01-26,1277.5
2022-01-25,1348.76
2022-01-24,1458.14
2022-01-23,1446.79
2022-01-22,1477.01
2022-01-21,1517.27
2022-01-20,1538.17
2022-01-19,1575.84
2022-01-18,1600.36
2022-01-17,1587.38
2022-01-16,1682.09
2022-01-15,1702.67
2022-01-14,1695.52
2022-01-13,1697.19
2022-01-12,1666.98
2022-01-11,1622.04
2022-01-10,1596.59
2022-01-09,1484.11
2022-01-08,1463.2
2022-01-07,1420.73
2022-01-06,1305.08
2022-01-05,1245.14
2022-01-04,1177.24
2022-01-03,1077.54
2022-01-02,940.72
2022-01-01,881.82
2021-12-31,833.04
2021-12-30,765.12
2021-12-29,669.17
2021-12-28,595.55
2021-12-27,537.42
2021-12-26,475.87
2021-12-25,442.69
2021-12-24,430.77
2021-12-23,407.2
2021-12-22,371.72
2021-12-21,342.75
2021-12-20,317.36
2021-12-19,293.53
2021-12-18,279.61
2021-12-17,272.21
2021-12-16,264.1
2021-12-15,257.08
2021-12-14,252.03
2021-12-13,252.44
2021-12-12,251.7
2021-12-11,250.75
2021-12-10,251.5
2021-12-09,256.57
2021-12-08,258.07
2021-12-07,258.82
2021-12-06,257.08
2021-12-05,229.96
2021-12-04,230
2021-12-03,225.7
2021-12-02,204.7
2021-12-01,183.2
2021-11-30,174.99
2021-11-29,168.99
2021-11-28,185
2021-11-27,179.56
2021-11-26,177.24
2021-11-25,187
2021-11-24,199.48
2021-11-23,199.7
2021-11-22,198.57
2021-11-21,194.98
2021-11-20,193.43
2021-11-19,196.04
2021-11-18,198.25
2021-11-17,186.16
2021-11-16,181.46
2021-11-15,177.21
2021-11-14,172.32
2021-11-13,171.66
2021-11-12,165.95
2021-11-11,156.28
2021-11-10,160.83
2021-11-09,157.44
2021-11-08,154.67
2021-11-07,152.44
2021-11-06,150.76
2021-11-05,150.74
2021-11-04,150.18
2021-11-03,148.22
2021-11-02,149.56
2021-11-01,158.2
2021-10-31,150.26
2021-10-30,151.25
2021-10-29,151.8
2021-10-28,149.98
2021-10-27,151.65
2021-10-26,149.35
2021-10-25,142.83
2021-10-24,136.88
2021-10-23,144.11
2021-10-22,153.1
2021-10-21,156.05
2021-10-20,158.82
2021-10-19,165.01
2021-10-18,167.93
2021-10-17,169.35
2021-10-16,172.46
2021-10-15,174.72
2021-10-14,179.78
2021-10-13,184.47
2021-10-12,187.73
2021-10-11,192.01
2021-10-10,195.72
2021-10-09,198.29
2021-10-08,201.94
2021-10-07,205.73
2021-10-06,208.8
2021-10-05,211.42
2021-10-04,214.96
2021-10-03,219.63
2021-10-02,222.41
2021-10-01,226.67
2021-09-30,230.42
2021-09-29,234.43
2021-09-28,239.26
2021-09-27,244.8
2021-09-26,241.81
2021-09-25,247.71
2021-09-24,256.09
2021-09-23,263.59
2021-09-22,273.12
2021-09-21,282.43
2021-09-20,290.75
2021-09-19,296.8
2021-09-18,302.6
2021-09-17,311.58
2021-09-16,315.74
2021-09-15,321.03
2021-09-14,322.91
2021-09-13,309.59
2021-09-12,308.68
2021-09-11,311.24
2021-09-10,308.04
2021-09-09,311.64
2021-09-08,310.84
2021-09-07,319.74
2021-09-06,337.42
2021-09-05,344.71
2021-09-04,342.83
2021-09-03,345.47
2021-09-02,345.29
2021-09-01,346.72
2021-08-31,340.42
2021-08-30,336.32
2021-08-29,331.22
2021-08-28,333.87
2021-08-27,331.33
2021-08-26,326.63
2021-08-25,323.14
2021-08-24,320.03
2021-08-23,316.24
2021-08-22,314.11
2021-08-21,309.18
2021-08-20,308.01
2021-08-19,301.94
2021-08-18,294.94
2021-08-17,287.97
2021-08-16,283.61
2021-08-15,278.81
2021-08-14,274.67
2021-08-13,268.7
2021-08-12,262.49
2021-08-11,255.41
2021-08-10,250.35
2021-08-09,242.67
2021-08-08,245.42
2021-08-07,234.69
2021-08-06,222.73
2021-08-05,216.27
2021-08-04,207.51
2021-08-03,196.02
2021-08-02,188.63
2021-08-01,179.24
2021-07-31,173.69
2021-07-30,165.53
2021-07-29,154.87
2021-07-28,146.49
2021-07-27,138.04
2021-07-26,127.46
2021-07-25,119.57
2021-07-24,114.99
2021-07-23,108.47
2021-07-22,100.25
2021-07-21,90.87
2021-07-20,83.92
2021-07-19,79.14
2021-07-18,74.34
2021-07-17,70.83
2021-07-16,67.4
2021-07-15,62.97
2021-07-14,59.15
2021-07-13,54.42
2021-07-12,49.88
2021-07-11,43.86
2021-07-10,41.98
2021-07-09,39.66
2021-07-08,36.41
2021-07-07,33.59
2021-07-06,30.24
2021-07-05,28.92
2021-07-04,29.32
2021-07-03,29.36
2021-07-02,29.36
2021-07-01,28.81
2021-06-30,27.88
2021-06-29,28.55
2021-06-28,27.87
2021-06-27,27.29
2021-06-26,26.83
2021-06-25,26.56
