wt,shares,imp,v60shared,v60followers,wt_shared,v60unique,time,μdur,title,views60s,comments,likes,wt_followers,v60recommend,keywords,views3s,wt_recommend,id,reach,len,date
658.1321667,4,790,9,43,44.58883333,46,15:04:00,0.863666667,Santa Cruz Formations,61,24,34,477.6915,9,"weekly, local",427,135.8518333,1,678,37,2020-04-29
524.872,3,538,1,30,6.782833333,31,15:05:00,1.047666667,A Geologist's Toolkit,40,10,11,406.2485,9,"weekly, science",288,111.8406667,2,461,32.05,2020-05-06
565.3216667,2,673,13,31,106.7376667,40,15:05:00,0.877833333,The Building Blocks of Rocks (Minerals),50,20,31,408.6715,6,"weekly, hard rock",381,49.9125,3,547,35.63333333,2020-05-13
347.043,3,725,0,20,12.165,19,15:05:00,0.5765,The Curious Case of the Three Rock Types,24,5,16,263.521,4,"weekly, hard rock",285,71.357,4,631,30.85,2020-05-20
392.1378333,1,403,0,22,0.380166667,22,15:05:00,1.037333333,Igneous Rocks,25,7,14,316.8651667,3,"weekly, hard rock",182,74.8925,5,366,26.71666667,2020-05-27
286.8401667,2,374,0,19,2.182833333,15,15:06:00,0.792333333,Sedimentary Rocks,20,1,14,280.4715,1,"weekly, hard rock",175,4.185833333,6,319,28.86666667,2020-06-03
484.1926667,5,815,9,26,54.41783333,32,15:06:00,0.6215,Metamorphic Rocks,41,4,19,343.4066667,6,"weekly, hard rock",385,86.368,7,682,30.56666667,2020-06-10
410.472,2,474,1,26,15.03033333,23,15:06:00,0.937166667,Chemical Sedimentary Rocks,32,9,15,332.0628333,5,"weekly, hard rock",221,63.37883333,8,393,34.8,2020-06-17
482.6923333,2,800,1,15,9.335833333,22,14:06:00,0.776,Geologic Time (1/2),25,4,12,364.5366667,9,"weekly, Earth history, research, series",290,108.8198333,9,716,36.2,2020-06-24
337.83,2,603,5,12,15.43266667,19,15:07:00,0.677,Geologic Time (2/2),21,1,16,237.3621667,4,"weekly, Earth history, research, series",221,85.03533333,10,481,38.46666667,2020-07-01
355.1386667,2,558,1,13,5.586833333,13,15:07:00,0.752333333,Behind the Scenes with a Scientist,17,1,15,291.8396667,3,"weekly, science",221,57.71216667,11,449,38.15,2020-07-08
579.0958333,3,1669,18,41,163.1975,54,15:07:00,0.381666667,Science Communication,67,15,39,351.8416667,8,"weekly, science",798,64.05666667,12,1586,31.31666667,2020-07-15
273.3216667,2,396,6,12,18.54683333,21,15:07:00,0.721166667,Volcanoes and Mass Extinctions,21,4,14,196.3068333,3,"weekly, hard rock",190,58.468,13,320,28.88333333,2020-07-22
113.884,1,194,1,13,3.2955,15,15:07:00,0.508333333,Volcanoes and Mass Extinctions,16,1,7,99.78116667,2,"weekly, hard rock",118,10.80733333,14,168,8.15,2020-07-22
120.6668333,4,542,1,9,6.2855,8,07:07:00,0.274166667,The Melting of the East Antarctic Ice Sheet,10,3,10,112.3876667,0,"weekly, research, climate, polar",227,1.993666667,15,476,32.43333333,2020-07-30
913.2008333,4,1611,16,50,209.3243333,60,15:08:00,0.6765,California State Symbols,71,19,37,632.0585,5,"weekly, local, hard rock",726,71.818,16,1556,42.21666667,2020-08-05
