title,id,date,views,μdur,pcvw,wt
Santa Cruz Formations,1,2020-05-01,219,8.616666666666667,23.3,1887.0500000000002
A Geologist's Toolkit,2,2020-05-08,61,5.833333333333333,18.21,355.8333333333333
The Building Blocks of Rocks (Minerals),3,2020-05-16,83,5.283333333333333,14.8,438.51666666666665
The Curious Case of the Three Rock Types,4,2020-05-21,45,7.5,24.26,337.5
Igneous Rocks,5,2020-05-28,41,5.833333333333333,21.77,239.16666666666666
Sedimentary Rocks,6,2020-06-04,25,4.8,16.63,120.0
Metamorphic Rocks,7,2020-06-11,40,5.233333333333333,17.12,209.33333333333334
Chemical Sedimentary Rocks,8,2020-06-18,71,3.65,10.49,259.15
Geologic Time (1/2),9,2020-06-25,43,8.133333333333333,22.45,349.7333333333333
Geologic Time (2/2),10,2020-07-02,15,10.116666666666667,26.35,151.75
Behind the Scenes with a Scientist,11,2020-07-09,29,3.6,9.45,104.4
Science Communication,12,2020-07-16,14,1.3666666666666667,4.4,19.133333333333333
Volcanoes and Mass Extinctions,13,2020-07-23,32,4.966666666666667,13.59,158.93333333333334
The Melting of the East Antarctic Ice Sheet,15,2020-07-30,205,5.05,15.59,1035.25
California State Symbols,16,2020-08-07,102,3.8333333333333335,9.11,391.0
Coastal Geology,17,2020-08-13,119,9.55,19.89,1136.45
115 Years of Geologic History in Santa Cruz,18,2020-08-20,45,9.633333333333333,25.59,433.5
Impacts of Fire on Soil and Water,19,2020-09-03,37,11.083333333333334,21.11,410.08333333333337
Building Appalachia,20,2020-10-08,52,7.233333333333333,21.58,376.1333333333333
Caves,21,2020-11-05,47,4.55,17.13,213.85
Supercontinents,22,2020-11-05,45,8.95,22.41,402.74999999999994
The Ice Ages,23,2020-12-04,61,7.583333333333333,20.94,462.5833333333333
Paleoclimatology,24,2021-02-05,42,8.866666666666667,26.75,372.40000000000003
The Varieties of Volcanoes,25,2021-02-05,46,7.7,23.07,354.2
Biogenic Geology,26,2021-03-04,36,6.016666666666667,17.5,216.6
The Moon!,27,2021-04-09,26,6.3,16.05,163.79999999999998
Great Geologic Landmarks,28,2021-06-11,22,5.516666666666667,17.12,121.36666666666666
The Ocean Floor,29,2021-07-14,18,4.1,11.78,73.8
Great Geologic Goodbyes,30,2021-08-07,23,6.466666666666667,20.1,148.73333333333335
What Even IS North America?,31,2021-08-31,59,9.95,27.76,587.05
Dangerous Minerals,32,2021-11-17,51,6.2,18.88,316.2
The Motions of the Oceans and the Atmosphere,33,2021-11-17,19,10.85,29.19,206.15
Seasonal Changes of Sea Ice,35,2022-01-07,15,12.15,31.9,182.25
Terrestrial Planets of our Solar System,36,2022-02-02,157,7.066666666666666,15.99,1109.4666666666667
The Giants of our Solar System (giant planets),37,2022-03-25,15,3.8,7.06,57.0
The End of An Era (meteorites and the solar system),38,2022-05-27,110,5.133333333333334,11.44,564.6666666666667
